SMILES,ID,is_active
OC(=O)CN(C1CCCC1)C(=O)c2cccc(Cl)c2S,184594,1
OC(=O)[C@H](CCc1ccccc1)N[C@@H]4Cc2ccccc2C3CCC[C@H](C(O)=O)N3C4=O,127838,1
C[C@H](CS)C(=O)N2[C@@H](SCCCc1ccccc1)CC[C@H]2C(O)=O,510013,1
OC(=O)[C@H](CCc1ccccc1)NC4Cc2ccccc2C3COC[C@H](C(O)=O)N3C4=O,548126,1
OC(=O)[C@H]1CCCC3N1C(=O)C(NC(=O)C(S)Cc2ccccc2)Cc4ccccc34,127693,1
O=C1CCCN1,10290,1
C[C@H](CS)C(=O)N2[C@@H](SCCc1ccccc1)CC[C@H]2C(O)=O,510012,1
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,23574,1
C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N2CCCC2C(O)=O,23572,1
C[C@H](NC(=O)[C@@H](S)CCc1ccccc1)C(=O)N2CCCC2C(O)=O,23535,1
C[C@H](CS)C(=O)N2C[C@@H](Sc1ccccc1)C[C@H]2C(O)=O,16567,1
C[C@H](CSC(=O)c1ccccc1)C(=O)N3C[C@@H](Sc2ccccc2)C[C@H]3C(O)=O,188706,1
C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N3C2CCCCC2CC3C(O)=O,22951,1
COc3ccc(C[C@H](S)C(=O)NCC(=O)N1[C@H](C(O)=O)CC[C@@H]1c2ccccc2O)cc3,142275,1
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N2CC3(C[C@H]2C(O)=O)SCCS3,61425,1
C[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N2N=C(C(C)(C)C)S[C@H]2C(O)=O,231249,1
CCC[C@H](N[C@@H](C)C(=O)N1N=C(C(C)(C)C)S[C@H]1C(O)=O)C(O)=O,231281,1
CC(NC(CCC(=O)Nc1ccc(I)cc1)C(O)=O)C(=O)N2CCCC2C(O)=O,177424,1
C[C@H](CS)C(=O)N2[C@@H](SCc1cccc(C)c1)CC[C@H]2C(O)=O,510164,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N3[C@H]2CCCC[C@@H]2C[C@H]3C(O)=O,421317,1
C[C@H](CC(=O)[C@H](Cc1ccccc1)NC(=O)c2ccccc2)C(=O)N3CCC[C@H]3C(O)=O,158522,1
CC1CCCC(C(O)=O)N1C(=O)CCS,184992,1
CCC(=O)OC(OP(=O)(CCCc1ccccc1)CC(=O)N3C[C@H](C2CCCCC2)C[C@H]3C(O)=O)C(C)C,188733,1
OC(=O)C1CCCN1C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](S)Cc3ccccc3,24044,1
C[C@H](NP(O)(=O)OCc1ccccc1)C(=O)N2CCC[C@H]2C(O)=O,44759,1
